Partido,Fecha_Hora_Colombia,Liga,Tipo_Mercado,Mercado,Mejor_Cuota,Mejor_Casa,Num_Casas,Score_Final,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Cuota_Promedio_Mercado,BDI_jsd,BDI_n_bookmakers,BDI_std_p,BDI_mad_p,BDI_jsd_fair,BDI_n_bookmakers_fair,BDI_std_p_fair,BDI_mad_p_fair,Todas_Las_Cuotas
Benfica vs Famalicão,2025-12-22 15:45:00,Primeira Liga,Doble Chance,1X,1.07,pinnacle,3,0.5887,0.0167,1.18,3.72,1.0533,0.0004620079726259266,3,0.011192967664574695,0.009946785647720188,,,,,pinnacle:1.07; marathonbet:1.05; betsson:1.04
Benfica vs Famalicão,2025-12-22 15:45:00,Primeira Liga,Doble Chance,X2,3.58,pinnacle,3,0.5887,0.2067,5.65,3.72,3.3733,0.00025333509580176245,3,0.017182979628235437,0.015399638059640008,,,,,pinnacle:3.58; betsson:3.42; marathonbet:3.12
Fulham vs Nottingham Forest,2025-12-22 15:00:00,EPL,Doble Chance,X2,1.57,pinnacle,4,0.4286,0.015,0.72,2.66,1.555,1.680313710450697e-05,4,0.00462421720935677,0.004135905872088341,,,,,pinnacle:1.57; marathonbet:1.56; betsson:1.55; codere_it:1.54
Melbourne City vs Macarthur FC,2025-12-23 03:15:00,A-League,Doble Chance,1X,1.18,pinnacle,4,0.3805,0.015,0.96,4.52,1.165,0.00010093023455955982,4,0.008239133869167558,0.007368925272261739,,,,,pinnacle:1.18; codere_it:1.17; betsson:1.16; marathonbet:1.15
Melbourne City vs Macarthur FC,2025-12-23 03:15:00,A-League,Doble Chance,X2,2.22,pinnacle,4,0.3805,0.0375,1.31,4.52,2.1825,2.6139538849284313e-05,4,0.005998187780194139,0.005770834259206353,,,,,pinnacle:2.22; codere_it:2.2; marathonbet:2.16; betsson:2.15
Athletic Bilbao vs Espanyol,2025-12-22 15:00:00,La Liga,Doble Chance,X2,2.01,pinnacle,4,0.3203,0.035,1.04,3.06,1.975,1.9731508636900832e-05,4,0.0052298204365805664,0.004435632878804968,,,,,pinnacle:2.01; codere_it:1.97; betsson:1.96; marathonbet:1.96
Athletic Bilbao vs Espanyol,2025-12-22 15:00:00,La Liga,Doble Chance,1X,1.22,marathonbet,4,0.2744,0.015,0.93,3.17,1.205,7.586734149592813e-05,4,0.00770112543154646,0.006887763911959582,,,,,marathonbet:1.22; pinnacle:1.21; codere_it:1.2; betsson:1.19
Fulham vs Nottingham Forest,2025-12-22 15:00:00,EPL,Doble Chance,1X,1.45,marathonbet,4,0.1875,0.0125,0.9,3.2,1.4375,3.385059422262915e-05,4,0.006299329607615277,0.0060539266464473,,,,,marathonbet:1.45; pinnacle:1.45; betsson:1.43; codere_it:1.42
Athletic Bilbao vs Espanyol,2025-12-22 15:00:00,La Liga,Goles (Over/Under),Over 2.5,2.32,betsson,2,0.2003,0.055,2.43,6.39,2.265,8.415968749746379e-05,2,0.010727102512092357,0.010727102512092357,1.9447560133183236e-05,2,0.0051078551078550805,0.0051078551078550805,betsson:2.32; codere_it:2.21
Athletic Bilbao vs Espanyol,2025-12-22 15:00:00,La Liga,Goles (Over/Under),Under 2.5,1.58,betsson,2,0.2003,0.005,0.32,6.39,1.575,3.1608981799612773e-06,2,0.002015641377086208,0.002015641377086208,1.9447560133183236e-05,2,0.005107855107855108,0.005107855107855108,betsson:1.58; codere_it:1.57
Melbourne City vs Macarthur FC,2025-12-23 03:15:00,A-League,Goles (Over/Under),Under 2.5,2.02,betsson,2,0.0772,0.03,1.51,7.64,1.99,4.142030141245502e-05,2,0.007577288341079014,0.007577288341079014,1.449242446335884e-05,2,0.0044708201092706346,0.0044708201092706346,betsson:2.02; codere_it:1.96
Melbourne City vs Macarthur FC,2025-12-23 03:15:00,A-League,Goles (Over/Under),Over 2.5,1.73,codere_it,2,-0.0669,0.005,0.29,8.82,1.725,2.08986704646624e-06,2,0.001680333378142218,0.001680333378142218,1.449242446335884e-05,2,0.004470820109270579,0.004470820109270579,codere_it:1.73; betsson:1.72
Fulham vs Nottingham Forest,2025-12-22 15:00:00,EPL,Goles (Over/Under),Over 2.5,1.98,pinnacle,3,0.6983,0.0267,1.05,2.32,1.9533,2.0835576012538204e-05,3,0.005372877529325696,0.004634270610090992,1.3749327426654947e-05,3,0.004365204671321675,0.0038483913143187256,pinnacle:1.98; betsson:1.95; codere_it:1.93
Fulham vs Nottingham Forest,2025-12-22 15:00:00,EPL,Goles (Over/Under),Under 2.5,1.93,pinnacle,3,0.6983,0.0333,1.79,2.32,1.8967,6.595193821737452e-05,3,0.009543983860011067,0.008752479251353399,1.3749327426654947e-05,3,0.0043652046713216226,0.0038483913143187256,pinnacle:1.93; codere_it:1.91; betsson:1.85
